,Nodtyp,EnhetId,AntalbestalldaPortioner,AntalKoptaPortioner,AntalAtande,AntalSaldaPortioner,KoksSvinnGram,ServeringsSvinnGram,TallriksSvinnGram,DW_Source,Manad,Ar,Dag,Vecka
41417,1,353,0,0,240,0,1200,2200,3100,0,1,2022,1,3
41418,1,354,277,0,245,0,0,7000,6000,0,1,2022,1,3
41419,1,355,0,0,277,0,1000,1800,4100,0,1,2022,1,3
41420,1,356,0,0,261,0,2000,2200,3800,0,1,2022,1,3
41421,1,357,0,0,308,0,1000,4700,6200,0,1,2022,1,3
41422,1,358,0,0,310,0,0,5000,7000,0,1,2022,1,3
41423,1,359,0,0,250,0,0,18000,9000,0,1,2022,1,3
41424,1,360,0,0,367,0,2000,8000,14000,0,1,2022,1,3
41425,1,361,0,0,417,0,1000,4000,15000,0,1,2022,1,3
41426,1,364,0,0,314,0,500,3000,9600,0,1,2022,1,3
41427,1,365,0,0,218,0,2000,900,5000,0,1,2022,1,3
41428,1,366,0,0,163,0,700,1000,1200,0,1,2022,1,3
41429,1,367,0,0,290,0,2000,7000,9500,0,1,2022,1,3
41430,1,368,0,0,273,0,500,9200,6100,0,1,2022,1,3
41431,1,369,0,0,352,0,400,1000,1200,0,1,2022,1,3
41432,1,370,0,0,466,0,1000,5000,9000,0,1,2022,1,3
41433,1,371,0,0,270,0,2000,2000,6000,0,1,2022,1,3
